sap;descricao;unidade;preco_unitario
C-4/2-BT;C-4/2-BT RET  CABO CAA 6/1 FIOS 2 AWG-N;UN;0.0
C-8/50;C-8/50  INSTALAÇÃO CABO 50 MM² PVC COBRE;UN;0.0
C-8X/120;C-8/120 INST CABO UNIP. XLPE CU 120MM2-0;UN;0.0
C-8X/240;C-8/240 INST CABO UNIP. XLPE CU 240MM2-0;UN;0.0
C-8X/35;C-8/35 INST CABO UNIP. XLPE CU 35MM2-06;UN;0.0
C-8X/70;C-8/70 INST CABO UNIP. XLPE CU 120MM2-06;UN;0.0
C101/0BT;C101/0BT INST CABO CA 1/0 AWG - PVC;UN;0.0
C10397BT;C10397BT  INST CABO CA 397,5 MCM - PVC;UN;0.0
C1125BT;C1125BT INST CABO DE AL XLPE 1 X 25MM2;UN;0.0
C13/2BT;C13/2BT  RET  CABO CA 2 AWG - PVC(WPP);UN;0.0
C131/0BT;C131/0BT RET  CABO CA 1/0 AWG-PVC(WPP);UN;0.0
C13397BR;C13397BR RET  CABO CA 397,5 MCM-PVC(WPP;UN;0.0
C13397BT;C13397BT RET  CABO CA 397,5 MCM-PVC(WPP;UN;0.0
C134/0BT;C134/0BT RET  CABO CA 7 FIOS 4/0 AWG-PV;UN;0.0
C3/397BT;C3/397BT INST CABO CA 397,5 MCM-NU;UN;0.0
C3/4/0BT;C3/4/0BT RET  CABO CA 7 FIOS 4/0 AWG-NU;UN;0.0
C3397BTR;C3397BTR INST CABO CA 397,5 MCM-NU/R.LI;UN;0.0
C4/1/0BT;C4/1/0BT INST CABO CAA 1/0 AWG-NU;UN;0.0
C5/185;C5/185   INST CABO QUADRUPLEX ISOL. 185;UN;0.0
C5/4QBTR;C5/4QBTR INST CABO QUADRUPLEX 4AWG-R.LI;UN;0.0
C5/6DBTR;C5/6DBTR INST CABO DUPLEX 6 AWG-R.LIGAC;UN;0.0
C5/6QBTR;C5/6QBTR INST CABO QUADRUPLEX 6AWG-R.LI;UN;0.0
C5/6TBTR;C5/6TBTR INST CABO TRIPLEX 6 AWG-R.LIGA;UN;0.0
C5/70;C5/70    RET  CABO QUADRUPLEX ISOL. 70;UN;0.0
C51/0QBR;C51/0QBR INST CABO QUADRUPLEX 1/0 AWG/R;UN;0.0
C51/0QBT;C51/0QBT INST CABO QUADRUPLEX 1/0 AWG;UN;0.0
C53/0QBR;C53/0QBR RET  CABO QUADRUPLEX 3/0 AWG/R;UN;0.0
C54/0QBR;C54/0QBR INST CABO QUAD.4/0 AWG-POLIET/;UN;0.0
C54/0QBT;C54/0QBT INST CABO QUADRUPLEX 4/0 AWG-P;UN;0.0
C5C/185;C5C/185 INST CABO MTX ISOL COL 185 MM²;UN;0.0
C5C/240;C5C/240 INST CABO MULTIPLEX ISOL 240MM²;UN;0.0
C5C/70;C5C/70 INST CABO MTX ISOL COL 70 MM²;UN;0.0
C8-10TET;C8-10TET INST CABO ISO BT XLPE AL 3X10MM;UN;0.0
C8-10TRI;C8-10TRI INST CABO ISO BT XLPE AL 2X10M;UN;0.0
C8-16A;C8-16A   RET  CABO CU PVC AZUL CLARO  1;UN;0.0
C8-16P;C8-16P   RET  CABO CU PVC PRETO 16MM2;UN;0.0
C8-16V;C8-16V   RET  CABO CU PVC VERMELHO 16 M;UN;0.0
C8-2X10;C8-2X10 INST CONDUTOR BP CONCENTRICO 10M;UN;0.0
C8-2X16;C8-2X16 INST.CABO BP CONCENT. ALUM 16MM2;UN;0.0
C8-2X6;C8-2X6   RET  CONDUTOR BP CONCENTRICO 6;UN;0.0
C8-35A;C8-35A   RET  CABO CU PVC AZUL CLARO 35;UN;0.0
C8-35B;C8-35B   RET  CABO CU PVC  BRANCO 35MM2;UN;0.0
C8-35P;C8-35P   RET  CABO CU PVC PRETO 35MM2;UN;0.0
C8-4X10;C8-4X10 INST CONDUTOR TETRA CONCENTRICO;UN;0.0
C8-4X16;C8-4X16 INST CABO TETR  CONC. ALUM 16MM2;UN;0.0
C8/1P-BT;C8/1P-BT INST FIO CU 1,5 MM2 PVC PRETO;UN;0.0
C8/1V-BT;C8/1V-BT INST FIO CU 1,5 MM2 PVC VERMEL;UN;0.0
CIA150BT;CIA150BT INST CABO ISOL ARMADO SECUND;UN;0.0
CIA25BT;CIA25BT INST CABO ISOL ARMADO SECUND;UN;0.0
CIA95BT;CIA95BT INST CABO ISOL ARMADO SECUND;UN;0.0
CIAR25BT;CIAR25BT INST CABO ISOL ARMADO SECUND;UN;0.0
C-13/16R;C-13/16R INST CABO CU COBERTO 16MM2 - RE;UN;0.0
C-17;C-17     INST CABO NU ACO-COBRE 35,1 MM;UN;0.0
C-17/PVC;C-17/PVC INST CABO ATERRAM COBER ACO CAR;UN;0.0
C-7/10;C-7/10   INST FIO NU CU RECOZIDO 10 MM2;UN;0.0
C-7/16;C-7/16   INST FIO NU COBRE 16 MM2 (N.4;UN;0.0
C-7/25;C-7/25   INST CABO DE COBRE NU 25 MM2;UN;0.0
C-7/25M;C-7/25M  RET  CABO NU DE COBRE 25 MM2 M;UN;0.0
C-7/6;C-7/6    RET  FIO DE COBRE NU 6MM2;UN;0.0
C-8/25;C-8/25   INST CABO CU-PVC PRETO 750V-25;UN;0.0
C101/0TR;C101/0TR INST CABO CA 1/0 AWG PVC-LEAD;UN;0.0
C10400TR;C10400TR INST CABO CA 400 MCM PVC-LEAD;UN;0.0
C13/16;C13/16   INST CABO CU COBERTO/ISOLADO_1;UN;0.0
C8/1/0TR;C8/1/0TR INST CABO CU 1/0 AWG PVC-LEAD;UN;0.0
C8/2/0TR;C8/2/0TR RET  CABO CU 2/0 AWG PVC-LEAD;UN;0.0
C8/240TR;C8/240TR INST CABO CU 240MM2 PVC LEAD.T;UN;0.0
C8/250TR;C8/250TR INST CABO CU 250 MCM PVC-LEAD;UN;0.0
C8/4/0TR;C8/4/0TR INST CABO CU 4/0 AWG PVC-LEAD;UN;0.0
C8/500TR;C8/500TR RET  CABO CU 500 MCM PVC-LEAD;UN;0.0
I-2/13;I-2/13   RET  CONJUNTO ISOLADOR/PINO 13;UN;0.0
I-2/13F;I-2/13F  RET  CON.ISO.PINO/PINO P/FERRO;UN;0.0
I-2/13T;I-2/13T  INST CONJ ISOL/PINO TOPO 35 MM;UN;0.0
I-2/19;I-2/19   RET  CONJ ISOLADOR/PINO TOPO 1;UN;0.0
I-2/34;I-2/34   RET  CONJUNTO ISOLADOR/PINO 34;UN;0.0
I-2/34F;I-2/34F  RET  CON.ISOL.PINO/PINO P/FERR;UN;0.0
I-2/7;I-2/7    RET  CONJ ISOLADOR/PINO TOPO 7;UN;0.0
I-4/13;I-4/13   INST CONJ.ISOLADOR SUSPENSAO 1;UN;0.0
I-4/13-1;I-4/13-1 RET  ISOLADOR SUSPENSAO P/RET.;UN;0.0
I-4/13-R;I-4/13-R INST CONJ. ISOL. SUSP. 13 KV.;UN;0.0
I-4/13C;I-4/13C RET CONJ.ISO.SUS.CON.BOL/CONCHI;UN;0.0
I-4/19;I-4/19   INST CONJ.ISOLADOR SUSPENSAO 1;UN;0.0
I-4/34;I-4/34   INST CONJ.ISOLADOR SUSPENSAO 3;UN;0.0
I-4/34-1;I-4/34-1 RET  ISOLADOR SUSPENSAO P/RET.;UN;0.0
I-4/34C;I-4/34C  RET  CONJ.ISO.SUS.CON.BOL/CONC;UN;0.0
I-4/34OB;I-4/34OB RET  C. ISOL.SUSP.CONEC.BOLETO;UN;0.0
I-4/7;I-4/7    INST CONJ.ISOLADOR SUSPENSAO 7;UN;0.0
I-5/13PM;I-5/13PM INST CONJ ISOL PILAR/PINO 13,8;UN;0.0
I-5/34PM;I-5/34PM INST CONJ ISOL PILAR/PINO 34,5;UN;0.0
I4/13GAL;I4/13GAL RET  CONJ.ISOL.SUSP.P/CABO AL;UN;0.0
