sap;descricao;unidade;preco_unitario
PB/RA;PB/RA INST ALIN.ANG. ATÉ 45° RD.PRÉ-REU;UN;0.0
PB/RA-A;PB/RA-A INST.ALIN.ÂNG. ATÉ 45° PRÉ-REUN;UN;0.0
PB/RA34;PB/RA34 INST ALIN.ANG. ATÉ 17° RD.MULT;UN;0.0
PB/RAA34;PB/RAA34 INST.ALIN.ÂNG. ATÉ 17° MULT;UN;0.0
PB/RAG;PB/RAG INST ÂNG.SUPERIORES 80° PRÉ-REUN;UN;0.0
PB/RAG34;PB/RAG34 INST ÂNG.SUPERIORES 34° MULT;UN;0.0
PB/RAP;PB/RAP INST ÂNG.DE 45° A 80° PRÉ-REUNID;UN;0.0
PB/RAP-A;PB/RAP-A INST.ÂNG. DE 45° A 80° PRÉ-REU;UN;0.0
PB/RAP34;PB/RAP34 INST ÂNG.DE 17° A 34° MULT;UN;0.0
PB/RF;PB/RF INST FIM DE RD.PRÉ-REU.C/BLINDAGE;UN;0.0
PB/RF34;PB/RF34 INST FIM DE RD.MULT.C/BLINDAGE;UN;0.0
PB/TAP34;PB/TAP34 INST TRANS.RD.CONV.P/MULT/BL;UN;0.0
PB/TCP34;PB/TCP34 INST TRANS.RD.COMP.P/MULT.C/BL;UN;0.0
PBRAPA34;PBRAPA34 INST.ÂNG. DE 17° A 34° MULT;UN;0.0
PRE/3;PRE/3    RET  ALINHAMENTOS E ANGULOS AT;UN;0.0
PRE/4;PRE/4    RET  ANGULOS DE 10 A 45:;UN;0.0
PRE/5A;PRE/5A   RET  ANG. SUPERIORES A 45: MON;UN;0.0
PRE/6A;"PRE/6A   RET  FINAL DE REDE: MONTAGEM """;UN;0.0
PB/2TRPP;PB/2TRPP INST TRAFO AP LIGADO PARALELO;UN;0.0
PB/TRPF;PB/TRPF INST TRAFO AP FINAL DE REDE;UN;0.0
PB/TRPFD;PB/TRPFD INST TR.AP C/DESC.-FIM DE REDE;UN;0.0
PB/TRPP;PB/TRPP INST TRAFO AP REDE PASSANTE;UN;0.0
PB/TRPPD;PB/TRPPD INST TR.AP C/DESC.-RD.PASSANTE;UN;0.0
PRE/TR1;PRE/TR1  RET  TRANSFORMADOR DE DISTRIBU;UN;0.0
PRE/TR2;PRE/TR2  RET  TRAFO DIST.MONT.CAB.TOPO;UN;0.0
PRE/TR3;PRE/TR3  RET  TR.DIST.MONT.TOP.POST.C/C;UN;0.0
PRE/TR4;PRE/TR4  RET  TRAFO DISTRIB.- FINAL DE;UN;0.0
PRE/TRAP;PRE/TRAP RET TR.DIST. AP P/RD. PRÉ-REUN;UN;0.0
PRETRBAN;PRETRBAN INST PARA BANCO DE TRANSFORMAD;UN;0.0
PB/CHFLR;PB/CHFRL INST ESTR CH SECC PRE REUNI;UN;0.0
PRE/1;PRE/1    RET  TRANS.RD.AE.CONV.P/RD.PRE;UN;0.0
PRE/10;PRE/10   RET  DERIV.RD.SUBT. C/CHAVE BY;UN;0.0
PRE/2;PRE/2    RET  TRANS.RD.SUB.P/RD.PRE-REU;UN;0.0
PRE/7;PRE/7    RET  DERIV.RAMAL PRE-REU.RD.AE;UN;0.0
PRE/8;PRE/8    RET  DER.RAMAL PRE-REU.CAB.PRE;UN;0.0
PRE/9;PRE/9    RET  DERIVACAO P/ REDE SUBTERR;UN;0.0
PRE/FA;PRE/FA   RET  SECCIONAMENTO C/ CHAVE DE;UN;0.0
PRE/R;PRE/R    RET  RELIGADOR (EXCETO KF);UN;0.0
PRE/S;PRE/S    RET  SECCIONALIZADOR;UN;0.0
PRERKF;PRERKF   RET  RELIGADOR TIPO KF;UN;0.0
A-15/03;A-15/03  INST FITA AUTO-AGLOMERANTE;UN;0.0
CAL/95;CAL/95   INST CABO DE ALUMINIO 12/20KV-;UN;0.0
CSC15/50;CSC15/50 RET  CABO DE COBRE 12/20KV - 5;UN;0.0
O-41/50A;O-41/50A AINST TER.DES.COT. 200A-50MM-AL;UN;0.0
O-41/50C;O-41/50C INST TERM.DESC.COTOVELO 200A-5;UN;0.0
O-41/95C;O-41/95C INST TERM.DESC.COTOVELO 200A-9;UN;0.0
PB/TAP;PB/TAP INST TRANS.RD.CONV.P/PRÉ-RE.C/BL;UN;0.0
PB/TAPF;PB/TAPF INST TRANS.RD.CONV.P/PRÉ-REUN.;UN;0.0
PB/TCP;PB/TCP INST TRANS.RD.COMP.P/PRÉ-RE.C/BL;UN;0.0
PB/TCPF;PB/TCPF INST TRANS.RD.COMP.P/PRÉ-REUNID;UN;0.0
PB/TPS;PB/TPS INST TRANS.PRÉ-REU C/BLIN P/R.SUB;UN;0.0
PB/TPSE;PB/TPSE INST TRANSI.PRÉ P/SUBT.C/EMENDA;UN;0.0
PB/TPSG1;PB/TPSG1 INST TRANSI.PRÉ P/SUBT.C/CH.GAS;UN;0.0
PB/DPA;PB/DPA INST DER.PRÉ-RE.C/BLIND.P/CONV.;UN;0.0
PB/DPAF;PB/DPAF INST DERIV.PRÉ P/CONV.C/CH.FACA;UN;0.0
PB/DPC;PB/DPC INST DER.PRÉ-RE.C/BLIND.P/R.COMP;UN;0.0
PB/DPCF;PB/DPCF INST DERIV.PRÉ P/COMP.C/CH.FACA;UN;0.0
PB/DPP;PB/DPP INST DERIV.PRÉ-REUNIDO P/PRÉ-REUN;UN;0.0
PB/DPPD;PB/DPPD INST DER.TCO./RAM.PRÉ-REUN.50mm;UN;0.0
PB/DPPG1;INST DERIVAÇÃO C/CHAVE A GÁS;UN;0.0
PB/DPPS1;PB/DPPS1 INST SUP RA MT CABO MTX 50 MM²;UN;0.0
PB/DPPS2;PB/DPPS2 INST SUP RA MT CABO MTX 185 MM²;UN;0.0
PB/DPS;PB/DPS INST DERIVAÇÃO PRÉ-REUNIDO.P/SUBT;UN;0.0
PB/DPSG1;PB/DPSG1 INST DERIV.PRÉ P/SUBT.C/CH.GAS;UN;0.0
PB/SPG1;PB/SPG1 INST SECC. TRONCO C/CHAVE A GÁS;UN;0.0
E/PA;E/PA     INST EGASTAMENTO ESPECIAL P/PA;UN;0.0
EB/R;EB/R     INST ENGASTAMENTO C/BASE REFOR;UN;0.0
EBC;EBC      INST ENGASTAMENTO DE POSTE CON;UN;0.0
EBC/M;EBC/M    INST ENGASTAMENTO DE POSTE MAD;UN;0.0
AP;AP       INST ATERRAMENTO DE PORTEIRAS;UN;0.0
AT-1;AT-1     INST ATERRAMENTO TIPO 1;UN;0.0
AT-2;AT-2     INST ATERRAMENTO TIPO 2;UN;0.0
AT-3;AT-3     INST ATERRAMENTO TIPO 3;UN;0.0
AT-3/BZ;AT-3/BZ     INST ATERRAMENTO TIPO 3;UN;0.0
AT-4;AT-4     INST ATERRAMENTO TIPO 4;UN;0.0
AT-5;AT-5     INST ATERRAMENTO TIPO 5;UN;0.0
AT-A;AT-A     RET  ATERRAMENTO DE EQUIPAMENT;UN;0.0
AT-B;AT-B     RET  ATERRAMENTO DE TRAFO FAVE;UN;0.0
AT-C;AT-C     RET  ATERR.NEUTRO BT/TERM.-PRE;UN;0.0
AT-D;AT-D     RET  ATERRAMENTO TERMINAIS-FAV;UN;0.0
AT-E;AT-E     RET  ATER.TRAFOS ISOLAM/DITRIB;UN;0.0
SAC;SAC      INST SECCIONAMENTO/ATERRAM CER;UN;0.0
EC/C;EC/C     INST ESTAI CRUZETA A CRUZETA U;UN;0.0
EC/P;EC/P     INST ESTAI CRUZETA A POSTE URB;UN;0.0
EP/A;EP/A     INST ESTAI POSTE ANCORA RURAL;UN;0.0
EP/CP;EP/CP    INST ESTAI POSTE/CONTRA-POSTE;UN;0.0
EP/P;EP/P     INST ESTAI POSTE A POSTE URBAN;UN;0.0
B5-7;B5-7     RET  CABINE BIFAS PTE CIA FIO;UN;0.0
B6-10;B6-10    RET  CABINE BIFAS PTE CIA FIO;UN;0.0
B6-9/7;B6-9/7   RET  CABINE BIFAS PTE 7M FIO 1;UN;0.0
B7-11/4;B7-11/4  RET  CABINE BIFAS PTE 4.3M FIO;UN;0.0
B7-12/7;B7-12/7  RET  CABINE BIFAS PTE 7M FIO 2;UN;0.0
B7-13;B7-13    RET  CABINE BIFAS PTE CIA FIO;UN;0.0
M5-1/4;M5-1/4   RET  CABINE MONO POST 4,30M FI;UN;0.0
M5-2/7;M5-2/7   RET  CABINE MONO POSTE 7M FIO;UN;0.0
M6-3/4;M6-3/4   RET  CABINE MONO POST 4,3M FIO;UN;0.0
M6-4/7;M6-4/7   RET  CABINE MONO POSTE 7M FIO;UN;0.0
A-22/M;A-22/M   RET  CALHA DE MADEIRA;UN;0.0
ACR/P;ACR/P    INST ACEIRO P/ POSTE (1,5M RAI;UN;0.0
C-8/M;C-8/M    INST FIO DO BRACO - M.O.AEREO;UN;0.0
CM-C/M;CM-C/M   INST CAPITEL P/ CONJ. DE MEDIC;UN;0.0
CRU-CE13;CRU-CE13 INST CRUZETA MAD C/ENCAB. 13,8;UN;0.0
CRU-CE34;CRU-CE34 RET  CRUZETA MAD C/ENCAB. 34,5;UN;0.0
CRU-SE13;CRU-SE13 RET  CRUZETA MAD S/ENCAB. 13,8;UN;0.0
CRU-SE34;CRU-SE34 RET  CRUZETA MAD S/ENCAB. 34,5;UN;0.0
D-30/M;D-30/M   RET  DISJUNTOR TERMOMAGNETICO;UN;0.0
E-1/M;E-1/M    INST BASE PARA RELE FOTOELETRI;UN;0.0
E-22/MC;E-22/MC  INST LAMPADA - BRACO CURTO;UN;0.0
E-22/ML;E-22/ML  INST LAMPADA - BRACO LONGO;UN;0.0
E-25/MC;E-25/MC  INST BRACO CURTO PARA LUMINARI;UN;0.0
E-25/ML;E-25/ML  INST BRACO LONGO PARA LUMINARI;UN;0.0
E-26/M;E-26/M   INST LUMINARIA;UN;0.0
E-26/MC;E-26/MC  INST LUMINARIA(BRACO CURTO)M.O;UN;0.0
E-26/ML;E-26/ML  INST LUMINARIA(BRACO LONGO)M.O;UN;0.0
E-29/BT;E-29/BT INST PARA-RAIO DE BT 280 V;UN;0.0
E-29/M;E-29/M   INST PARA-RAIO VALVULA 15KV 5K;UN;0.0
E-29/M-1;E-29/M-1 INST PARA-RAIO VALVULA 27KV 5K;UN;0.0
E-29/M-2;E-29/M-2 INST PARA-RAIO 12KV RURAL;UN;0.0
E-32/M;E-32/M   INST REATOR;UN;0.0
E-39/M;E-39/M   INST RELE FOTOEL- BRACO CURTO;UN;0.0
E-39/M-1;E-39/M-1 INST RELE FOTOEL- BRACO LONGO;UN;0.0
F-10/M;F-10/M   INST CINTAS - M.O. AEREO;UN;0.0
F-19/M;F-19/M   INST MÃO FRANCESA PERF.TIPO II;UN;0.0
F-19/M-1;F-19/M-1 INST MÃO FRANC. PERF.TIPO I;UN;0.0
F-19/M-2;F-19/M-2 INST MÃO FRANCESA PERF.TIPO III;UN;0.0
F-19/M-3;F-19/M-3 INST MÃO FRANCESA PERF PAS CABO;UN;0.0
F-19M-4;F-19M-4 INST MÃO FRANCESA PERF C PAS CAB;UN;0.0
F-20/M;F-20/M   INST MAO FRANCESA PLANA 32X6,3;UN;0.0
F-20/M-1;F-20/M-1 INST MAO FRANCESA PLANA 32X6,3;UN;0.0
I-2/M-2;I-2/M-2  INST ISOLADOR PINO 34,5KV;UN;0.0
I-2/M-3;I-2/M-3  RET  ISOLADOR PINO 7,96KV;UN;0.0
I-3/P;I-3/M INST ISOLAD ROLDANA POLIMERICO;UN;0.0
I-4/M;I-4/M    INST ISOL. DISCO PORC./VIDRO 1;UN;0.0
I-4/M-2;I-4/M-2  INST ISOLADOR DISCO 34.5KV;UN;0.0
I-4/M-3;I-4/M-3  INST ISOL. DISCO PORC 254X146M;UN;0.0
I-4/M-4;I-4/M-4  INST ISOL. DISCO VIDRO 34,5 KV;UN;0.0
I-5/13;I-5/13 INSTALAÇÃO ISOLADOR PILAR 13,8 KV;UN;0.0
I-5/34;I-5/34 INSTALAÇÃO ISOLADOR PILAR 34,5 KV;UN;0.0
PA/BC;PA/BC    RET  PODA BAMBUZAL C/ REC. P/;UN;0.0
PA/BS;PA/BS    RET  PODA BAMBUZAL S/ REC. P/;UN;0.0
PA/CR;PA/CR    RET  PODA DE ARVORE C/ RECOLHI;UN;0.0
PA/OC;PA/OC    RET  PODA ARV ORNAMENT.S/ RECO;UN;0.0
PA/SR;PA/SR    RET  PODA DE ARVORE S/ RECOLHI;UN;0.0
PPF/M;PPF/M    RET  PINTURA DE POSTE DE FERRO;UN;0.0
PPG/AD;PPG/AD   RET  PAPAGAIO P/KM - ALTA DENS;UN;0.0
PPG/BD;PPG/BD   RET  PAPAGAIO P/KM -BAIXA DENS;UN;0.0
PPG/MD;PPG/MD   RET  PAPAGAIO P/KM -MEDIA DENS;UN;0.0
RNP/M;RNP/M    RET  M.O. RENUMERAR POSTES;UN;0.0
SIPRTR;SIPRTR INST PARA-RAIO DE BT NO TRAFO;UN;0.0
13CE1;13CE1    RET  RD.AE.COMPAC.P/VAOS TANGE;UN;0.0
13CE1-FA;13CE1-FA RET  RD.AE.COMPAC.P/INST.CHAVE;UN;0.0
13CE1-PR;13CE1-PR RET  RD.AE.COMPAC.P/INST.PARA-;UN;0.0
13CE1-TR;13CE1-TR RET  RD.AE.COMPAC.P/INST.DE TR;UN;0.0
13CE1A;13CE1A INST RD AE COMP BRAÇO ANTI VÃO TG;UN;0.0
13CE1DT;13CE1DT INST RD.COMPAC.P/VÃOS TANG. DT;UN;0.0
13CE2;13CE2    INST RD.AE.COMPAC.P/DEFLEXAO R;UN;0.0
13CE2.3;13CE2.3 INST EST CONJUG DERIV COM DEFLEX;UN;0.0
13CE2CE3;13CE2CE3 INST RD AE COMP DERIV LADO OPOS;UN;0.0
13CE2DT;13CE2DT  INST RD.COMPAC.P/DEFLEXÃO DT;UN;0.0
13CE2JPR;13CE2JPR INST. DE PARA-RAIOS;UN;0.0
13CE2JT;13CE2JT INST TRANSF CONV C BRAÇO HOR JOT;UN;0.0
13CE2JT2;13CE2JT2 INST TRAFO CONV PARALEL BR JOTA;UN;0.0
13CE2JTA;13CE2JTA INST TRANSF AP COM  BRAÇO JOTA;UN;0.0
13CE3;13CE3    INST RD.AE.COMPACTA PARA FIM R;UN;0.0
13CE3CE3;13CE3CE3 INST EST DERIV DOIS FINS D REDE;UN;0.0
13CE3DT;13CE3DT INST RD.AE.COMPACTA P/ FIM R DT;UN;0.0
13CE3FAT;13CE3FAT INST ESTR. TRANS. AEREO SUBTER;UN;0.0
13CE3PR;13CE3PR INST. DE PÁRA-RAIOS;UN;0.0
13CE3T;13CE3T INST TRANSF CONV EM FIM DE REDE;UN;0.0
13CE3TA;13CE3TA INST. TRAFO AUTOPROTEGIDO;UN;0.0
13CE4;13CE4    INST RD.AE.COMPAC.P/DEFLEXAO E;UN;0.0
13CE4CE3;13CE4CE3 INST EST FIM DE REDE E DEFLEXÃO;UN;0.0
13CE4JC3;13CE4JC3 INST.CH INTERRUPTORA TRIPOLAR;UN;0.0
13CE4JR;13CE4JR INST.RELIG C/BRAÇO AFASTADOR;UN;0.0
13CE4JS;13CE4JS INST.SECCIONALIZADOR C/BRAÇO;UN;0.0
13CECFSU;13CECFSU INST ESTR CHAVE FUS C/ BY PASS;UN;0.0
13CEJCF;13CEJCF INST. CH. FUSIVEL DEFLEXAO ESP;UN;0.0
13CEJSCF;13CEJSCF INST ESTR P/ SEC MONO ELETRONIC;UN;0.0
13CEJSCM;13CEJSCM INST. ESTR. P/SEC MONO  BY PASS;UN;0.0
13CEJSU;13CEJSU INST. CH. SECCIONADORA UNIPOLAR;UN;0.0
13CEN3PR;13CEN3PR INST EST TRANS RD CONV P/COMPAC;UN;0.0
13CEN3SU;13CEN3SU INST EST TRANS RD CONV P/COMPAC;UN;0.0
13CERCVT;13CERCVT INST EST RELIG SEC CONTROL CVT;UN;0.0
13CERLN;13CERLN INST EST RELIG C/ SECCION NOJA;UN;0.0
13CESDER;13CESDER INST SEC MONO COM BY PASS;UN;0.0
13N3-CE;13N3-CE  RET  RD.AE.CONV./COMPAC.S/SECC;UN;0.0
13N3S-CE;13N3S-CE RET  RD.AE.CONV./COMPAC.C/SECC;UN;0.0
34CE-CG;34CE-CG RET RD.AE.34,5KV COMPAC.P/CG SF;UN;0.0
34CE1;34CE1    INST RD.AER.COMPAC.P/VAOS TANG;UN;0.0
34CE1-PR;34CE1-PR RET RD.AER.COMP.P/INST/P.RAIOS;UN;0.0
34CE1A;34CE1A   INST RD.AE.COMP.C/BR.ANT.BAL.3;UN;0.0
34CE1CE3;34CE1CE3 RET RD.AE.COMP.P/DER.CIR.POSTE;UN;0.0
34CE2;34CE2    INST RD.AER.COMPAC.P/DEFLEX.DA;UN;0.0
34CE2.3;34CE2.3 INST. DERIVACAO CIRCUITO POSTE;UN;0.0
34CE2CE3;34CE2CE3 INST RD.AE.COMP.P/DER.CIR.POST;UN;0.0
34CE2JPR;34CE2JPR INST. PARA-RAIOS;UN;0.0
34CE3;34CE3    INST RD.AER.COMPACTA P/FIM DE;UN;0.0
34CE3CE3;34CE3CE3 INST RD.AER.COMP.DEFLEX.SUP.90°;UN;0.0
34CE3FAT;34CE3FAT INST  ESTR. TRANS. AEREO SUBTER;UN;0.0
34CE3PR;34CE3PR INST. PARA-RAIOS;UN;0.0
34CE4;34CE4    INST RD.AE.COMPAC.P/DEFLEXAO E;UN;0.0
34CE4CE3;34CE4CE3 INST. DERIVACAO DE REDE;UN;0.0
34CE4JC3;34CE4JC3 INST. CH. INTERRUPTORA TRIPOLAR;UN;0.0
34CE4JR;34CE4JR INST. RELIG. C/BRAÇO AFASTADOR;UN;0.0
34CEFA;34CEFA RET RD.AE.COMPAC.P/CH.FACA 34,5K;UN;0.0
34CEJSU;34CEJSU RET. CH SECCIONADORA UNIPOLAR;UN;0.0
34CEM4SU;34CEM4SU INST SECC UNIP LONGO RD MB 34,5;UN;0.0
34CEN3PR;34CEN3PR INST.REDE CONVENCIONAL;UN;0.0
34CEN3SU;34CEN3SU INST.REDE CONVENCIONAL;UN;0.0
34CERL;34CERL INST RELIGADOR 34,5 KV C/CH FACA;UN;0.0
34N3-CE;34N3-CE RET R.A.COMP.TRANS.P/CONV.34,5K;UN;0.0
34N3SCE;34N3SCE INST RD.COMP.P/R.CONV34,5KV C/C;UN;0.0
A-3/13;A-3/13 INST BRAÇO ANTI BALANÇO 15 KV;UN;0.0
A-3/34;A-3/34 INSTAL  BRAÇO ANTIBALANÇO 34,5 KV;UN;0.0
CE1CE3;CE1CE3   RET  RD.AE.COMPAC.P/DERIV.CIR.;UN;0.0
CE1TR/AP;CE1TR/AP RET  RD.AE.COMPAC.P/INST.TRAFO;UN;0.0
CE2CE3;CE2CE3   INST RD.AE.COMPAC.P/DERIV.CIR.;UN;0.0
F-12/RC;F-12/RC INSTALAÇÃO  ESTRIBO BRAÇO TIPO L;UN;0.0
F-6/13;F-6/13 INSTALAÇÃO  BRAÇO TIPO C 15 KV;UN;0.0
F-6/34;F-6/34 INSTALAÇÃO  BRAÇO TIPO C 34,5 KV;UN;0.0
F-7/13;F-7/13 INSTALAÇÃO  BRAÇO TIPO L 15 KV;UN;0.0
F-7/34;F-7/34 INSTALAÇÃO  BRAÇO TIPO L 34,5 KV;UN;0.0
F-9;F-9 INST.CANT. AUXILIAR  BRACO TIPO  C;UN;0.0
BR-AIF;BR-AIF   INST ANCORAMENTO RAMAL IND.FAX;UN;0.0
BR-ARF;BR-ARF   INST ANCORAMENTO DA REDE NA FA;UN;0.0
BR-ARP;BR-ARP   INST ANCORAMENTO DE REDE EM PO;UN;0.0
BR-ART;BR-ART   INST ANCORAMENTO DA REDE PONTA;UN;0.0
BR-IEF;BR-IEF   INST LIGAçãO EMBUTIDA FACHADA;UN;0.0
BR-IRR;BR-IRR   INST INTERLIG.REDE EMBUT/SOBRE;UN;0.0
BR-ISF;BR-ISF   INST LIGAçãO INDIVIDUAL FACHAD;UN;0.0
BR-LA;BR-LA    INST LIGAçãO GRUPO DE 6/12 CON;UN;0.0
BR-RAF;BR-RAF   RET  REDE APARENTE NA FACHADA;UN;0.0
BR-REF;BR-REF   INST REDE EMBUTIDA NA FACHADA;UN;0.0
BR-RSF;BR-RSF   INST REDE SOBREPOSTA NA FACHAD;UN;0.0
PBR1AHP4;PBR1AHP4 RET  MONT. POSTE 4,3M-1CX-1 ME;UN;0.0
PBR1AHP7;PBR1AHP7 RET  MONT. POSTE 7,0M-1CX-1 ME;UN;0.0
PBR1KWP4;PBR1KWP4 RET  MONT. POSTE 4,3M-1CX-1 ME;UN;0.0
PBR1KWP7;PBR1KWP7 RET  MONT. POSTE 7,0M-1CX-1 ME;UN;0.0
PBR2AHP4;PBR2AHP4 RET  MONT. POSTE 4,3M-1CX-2 ME;UN;0.0
PBR2AHP7;PBR2AHP7 RET  MONT. POSTE 7,0M-1CX-2 ME;UN;0.0
PBR2KWP4;PBR2KWP4 RET  MONT. POSTE 4,3M-2CX-2 ME;UN;0.0
PBR2KWP7;PBR2KWP7 RET  MONT. POSTE 7,0M-2CX-2 ME;UN;0.0
PBRAHF;PBRAHF   RET  MONT.FACHA.S/PONT.1CX-1ME;UN;0.0
PBRAHFP;PBRAHFP  RET  MONT.FACHA.C/PONT.1CX-1ME;UN;0.0
PBRAHFPS;PBRAHFPS RET  MONT.FACHA.C/PONT.S/AT.1C;UN;0.0
PBRAHFST;PBRAHFST RET  MONT.FACHA.S/PONT.S/AT.1C;UN;0.0
PBRKWFPS;PBRKWFPS RET  MONT.FACH.C/PONT.S/AT.1CX;UN;0.0
PBRKWFST;PBRKWFST RET  MONT.FACH.S/PONT.S/AT.1CX;UN;0.0
PBRKWHF;PBRKWHF  RET  MONT.FACHA.S/PONT.1CX-1ME;UN;0.0
PBRKWHFP;PBRKWHFP RET  MONT.FACHA.C/PONT.1CX-1ME;UN;0.0
A-12;A-12 INST. COBERT. PROTETORA P/CONECT.;UN;0.0
A-13;A-13 INST PROTETOR BUCHA EQUIPAMENTO;UN;0.0
A-14/01;A-14/01 INST DE ABARÇADEIRA PLASTICA;UN;0.0
A-15/01;A-15/01  INST FITA ANTI CORROSIVA (3M);UN;0.0
A-15/04;A-15/04 INST CONJ BLIND FLEX CB MTX BT;UN;0.0
A-15/05;A-15/05 INST CJ BLIND RIGID CB MTX BT 70;UN;0.0
A-18;A-18     INST SUPORTE DE ALCA PRE-FORMA;UN;0.0
A-30/1;A-30/1 INST SUPORTE P/TRAFO POSTE D.225;UN;0.0
A-30/2;A-30/2 INST SUPORTE P/TRAFO POSTE D.240;UN;0.0
A-30/3;A-30/3 INST SUPORTE P/TRAFO POSTE D.255;UN;0.0
A-30/4;A-30/4   INST SUPORTE TRAFO TIPO I DIA;UN;0.0
A-30/5;A-30/5   INST SUPORTE TRAFO TIPO I DIA;UN;0.0
A-30/6;A-30/6   INST SUPORTE TRAFO TIPO I DIA 3;UN;0.0
A-30/7;A-30/7   INST SUPORTE TRAFO TIPO I DIA 3;UN;0.0
A-33/11;A-33/11  INST SUPOR.BANCO TRAFO POSTE C;UN;0.0
A-33/12;A-33/12  INST SUPOR.BANCO TRAFO POSTE C;UN;0.0
A-35/13;A-35/13  INST PLACA IDENT.LINHA/EQUIP.1;UN;0.0
A-35/25;A-35/25  INST PLACA IDENT.LINHA/EQUIP.6;UN;0.0
A-40;A-40     INST BRACADEIRA DE ALUMINIO;UN;0.0
A-40/1;A-40/1 INST. ABRAÇAD.AÇO C/REVEST. POLIM;UN;0.0
A-44;A-44 INSTALAÇÃO FAIXA SINALIZAÇÃO;UN;0.0
A-46/1;A-46/1 INST CAPUZ P/CABO ISOL.400MCM/185;UN;0.0
A-49;A-49 INST MARCADORES DE RAMAIS;UN;0.0
A-54;A-54 INST SUP.ISOL.P/RD.SEC.MULT.FACHAD;UN;0.0
A-68;A-68 INSTALAÇÃO SEPARADOR REDE AÉREA;UN;0.0
A-75;A-75 INST LAMINA DESLIGADORA;UN;0.0
A-78;A-78 INSTALAÇÃO COBERTURA ANTI PIPA;UN;0.0
A-78/01;A-78/01 INST COBERT ANTI PIPA E ABRAÇAD;UN;0.0
A-81/1;"INST PRENSA-CABOS 1""";UN;0.0
C8/2X4;C8/2X4 INST CABO CONTROLE 2X4 MM²;UN;0.0
CCT;CCT      RET  CAIXA CONTROLE TRANSFEREN;UN;0.0
DISTAC-C;DISTAC-C RET  CABO DE CONTROLE PVC 4 X;UN;0.0
F-38/13;F-38/13 INSTALAR PINO CURTO P/ISOLADOR;UN;0.0
F-38/34P;F-38/34P INST PINO CURTO POL P/ISOL 34kV;UN;0.0
I-8/13;I-8/13 INSTALAR ISOLADOR PINO POLIM. 15K;UN;0.0
E-10/10K;E-10/10K INST ELO FUSIVEL, TIPO BOTAO 1;UN;0.0
E-10/10T;E-10/10T INST ELO FUSIVEL, TIPO BOTAO 1;UN;0.0
E-10/12K;E-10/12K INST ELO FUSIVEL,TIPO BOTAO 12;UN;0.0
E-10/15K;E-10/15K INST ELO FUSIVEL, TIPO BOTAO 1;UN;0.0
E-10/1H;E-10/1H  INST ELO FUSIVEL,TIPO BOTAO 1H;UN;0.0
E-10/1HP;E-10/HP INST ELO FUS ,TIPO ROSCA 1 H;UN;0.0
E-10/20K;E-10/20K INST ELO FUSIVEL, TIPO BOTAO 2;UN;0.0
E-10/25K;E-10/25K INST ELO FUSIVEL,TIPO BOTAO 25;UN;0.0
E-10/2H;E-10/2H  INST ELO FUSIVEL, TIPO BOTAO 2;UN;0.0
E-10/30K;E-10/30K INST ELO FUSIVEL, TIPO BOTAO 3;UN;0.0
E-10/30T;E-10/30T INST ELO FUSIVEL, TIPO BOTAO 30;UN;0.0
E-10/3H;E-10/3H  INST ELO FUSIVEL, TIPO BOTAO 3;UN;0.0
E-10/40K;E-10/40K INST ELO FUSIVEL, TIPO BOTAO 4;UN;0.0
E-10/50K;E-10/50K INST ELO FUSIVEL, TIPO BOTAO 5;UN;0.0
E-10/5H;E-10/5H  INST ELO FUSIVEL, TIPO BOTAO 5;UN;0.0
E-10/65T;E-10/65T INST ELO FUSIVEL, TIPO BOTAO 65;UN;0.0
E-10/6K;E-10/6K  INST ELO FUSIVEL, TIPO BOTAO 6;UN;0.0
E-10/6T;E-10/6T  INST ELO FUSIVEL, TIPO BOTAO 6;UN;0.0
E-10/80T;E-10/80T INST ELO FUSIVEL, TIPO BOTAO 80;UN;0.0
E-10/8K;E-10/8K  INST ELO FUSIVEL, TIPO BOTAO 8;UN;0.0
E10/40EF;E10/40EF INST ELO FUS ,TIPO BOTAO 40EF;UN;0.0
E10/65EF;E10/65EF INST ELO FUS ,TIPO BOTAO 65EF;UN;0.0
E10/80EF;E10/80EF INST ELO FUS ,TIPO BOTAO 805EF;UN;0.0
E10100EF;E10100EF INST ELO FUS ,TIPO BOTAO 100EF;UN;0.0
A-2;A-2 INSTALAÇÃO ARRUELA LISA QUADRADA;UN;0.0
F-1/1;F-1/1    INST AFASTADOR ARMACAO SECUNDA;UN;0.0
F-1/2;F-1/2    INST SUPORTE AFASTADOR DE ESCA;UN;0.0
F-11/PP;F-11/PP INST CONJ. PROLONGADOR DE POSTE;UN;0.0
F-12;F-12     RET  BRACELETE P/ISOLADOR SUSP;UN;0.0
F-13;F-13 INSTALAÇÃO GANCHO OLHAL;UN;0.0
F-31A;F-31A INST PARAFUSO CAB ABAULADA 70 MM;UN;0.0
F-31B;F-31B INST PARAFUSO CAB ABAULADA 150 mm;UN;0.0
F-34C;F-34C INST PARAF CAB SEXT  3/8 X 1.1/2;UN;0.0
F-34DT;F-34DT INST PINO PARA ISOL PILAR;UN;0.0
F-34PF;F-34PF RET PINO ISOLADOR PILAR FERRO;UN;0.0
F-36;F-36 RETIRADA PINO PARA ISOLADOR;UN;0.0
F-39;F-39 - INST. DE PINO PARA ISOLADOR;UN;0.0
