sap;descricao;unidade;custo_un;normas
13E;13E      RET  FERRAG.2 LIN.HORI.POSTE C;UN;0.0;
13E-29;13E-29   RET  PARA-RAIO EM CRUZETA DE F;UN;0.0;
13EE;13EE     RET  FER.DUPL.2 LIN.HOR.POST.C;UN;0.0;
13F;13F      RET  FERRAG.1 LIN.HORIZ. POSTE;UN;0.0;
13FA/B;13FA/B   INST CHAVE FACA LONGO RED.MONT;UN;0.0;
13FA/BDT;13FA/BDT   INST CHAV FACA LONGO RED.MONT;UN;0.0;
13FA/DER;13FA/DER INST CHAVE FACA EM DERIVACAO N;UN;0.0;
13FA/M;13FA/M   INST CHAVE FACA LONGO RED.MEIO;UN;0.0;
13FA/MDT;13FA/MDT   INST CHAV FACA LONGO RED.MONT;UN;0.0;
13FA/N;13FA/N   INST CHAVE FACA LONGO REDE MON;UN;0.0;
13FA/NDT;13FA/NDT   INST CHAV FACA LONGO RED.MONT;UN;0.0;
13FA/RT;13FA/RT  INST CHAVE FACA A/C RURAL TRIF;UN;0.0;
13H;13H      RET  FERRAG.1 LIN.HORI.POSTE C;UN;0.0;
13I3BDTA;13I3BDTA INST R. INV. FIM REDE. AFA MT P;UN;0.0;
13I3DB3A;13I3DB3A INST CONJUG CONVS DER MT AFAST;UN;0.0;
13I3DB4A;13I3DB4A INST CON/DER DUPLA ANC AFAST MT;UN;0.0;
13I3DDTA;13I3DDTA INST R INV CONV FIM RD BLIN DUP;UN;0.0;
13ID4DTA;13ID4DTA INST RD INV DER DUP ANC AFAST M;UN;0.0;
13IDB3DA;13IDB3DA INST RD INV CONVR DER BLD AFT M;UN;0.0;
13IDB4DA;13IDB4DA INST RD INV CONVR DER DUP ANC M;UN;0.0;
13IDBDTA;13IDBDTA INST RD INV DER BLIN AFAST MTDT;UN;0.0;
13IFRDTA;13IFRDTA INST RD INV DER CFR AFT MTDT;UN;0.0;
13IFSDTA;13IFSDTA INST EST CJ DER SEC MONO BY PAS;UN;0.0;
